SECID,BOARDID,BID,OFFER,SPREAD,OPEN,HIGH,LOW,LAST,QUANTITY,LASTCHANGE,SETTLEPRICE,SETTLETOPREVSETTLE,OPENPOSITION,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,UPDATETIME,LASTCHANGEPRCNT,BIDDEPTH,BIDDEPTHT,NUMBIDS,OFFERDEPTH,OFFERDEPTHT,NUMOFFERS,TIME,SETTLETOPREVSETTLEPRC,SEQNUM,SYSTIME,TRADEDATE,LASTTOPREVPRICE,OICHANGE,OPENPERIODPRICE,SWAPRATE,TRADE_SESSION_DATE,LAST_RUB
CRH7,RFUD,13.004,13.007,0.003,12.855,13.019,12.854,13.008,1,0.007,13.007,0.173,132196,1968,17736,229618070,2787500,17:50:22,0.05,,,,,,,17:48:25,1.33,20260813180523,2026-08-13 18:05:23,2026-08-13,1.28,210,0.00000,0.00000,2026-08-13,13008
CRM7,RFUD,13.198,13.202,0.004,13.059,13.213,13.059,13.194,8,-0.005,13.197,0.164,63772,618,3033,39833610,483569,17:50:22,-0.04,,,,,,,17:44:01,1.24,20260813180523,2026-08-13 18:05:23,2026-08-13,1.24,3728,0.00000,0.00000,2026-08-13,13194
CRU6,RFUD,12.581,12.582,0.001,12.425,12.599,12.418,12.581,12,-0.001,12.582,0.169,47562278,243693,11475276,137606524540,1670505140,17:50:22,-0.01,,,,,,,17:50:21,1.34,20260813180523,2026-08-13 18:05:23,2026-08-13,1.33,-2108964,12.42500,0.00000,2026-08-13,12581
CRU7,RFUD,13.454,13.47,0.016,13.407,13.529,13.33,13.466,3,-0.001,13.466,0.141,4062,50,177,2384570,28948,17:50:22,-0.01,,,,,,,17:14:21,1.05,20260813180523,2026-08-13 18:05:23,2026-08-13,1.05,56,0.00000,0.00000,2026-08-13,13466
CRZ6,RFUD,12.792,12.795,0.003,12.627,12.81,12.627,12.794,170,-0.002,12.794,0.172,6583922,22594,479076,5838592080,70878893,17:50:22,-0.02,,,,,,,17:49:40,1.34,20260813180523,2026-08-13 18:05:23,2026-08-13,1.32,439342,0.00000,0.00000,2026-08-13,12794
CRZ7,RFUD,13.662,13.764,0.102,13.681,13.723,13.534,13.7,16,0.05,13.7,0.11,1152,26,113,1539790,18693,17:50:02,0.37,,,,,,,16:47:31,0.8,20260813180512,2026-08-13 18:05:12,2026-08-13,0.74,176,0.00000,0.00000,2026-08-13,13700
CSU6,RFUD,5497,5508,11,5532,5532,5532,5532,1,0,5508,-172,580,1,1,5532,67,17:50:15,0,,,,,,,16:12:52,-3.12,20260813180516,2026-08-13 18:05:16,2026-08-13,-4.01,0,0.00000,0.00000,2026-08-13,5532
CSZ6,RFUD,5620,5715,95,5687,5687,5687,5687,1,0,5687,-103,94,1,1,5687,69,17:50:13,0,,,,,,,16:12:52,-1.81,20260813180514,2026-08-13 18:05:14,2026-08-13,0,0,0.00000,0.00000,2026-08-13,5687
DDU6,RFUD,86.14,86.38,0.24,89.46,89.46,86.39,86.39,1,-1.26,86.38,-2.22,90,5,8,58268,707,17:49:39,-1.44,,,,,,,17:36:17,-2.57,20260813180502,2026-08-13 18:05:02,2026-08-13,0,12,0.00000,0.00000,2026-08-13,7170
DDZ6,RFUD,89.56,91.36,1.8,92,92,92,92,1,0,91.36,-1.12,28,1,1,7636,93,17:49:39,0,,,,,,,16:42:05,-1.23,20260813180502,2026-08-13 18:05:02,2026-08-13,0,2,0.00000,0.00000,2026-08-13,7636
DJU6,RFUD,538,538.7,0.7,539,539,539,539,1,0,538.7,1.6,850,1,1,44736,543,17:49:31,0,,,,,,,17:47:27,0.3,20260813180442,2026-08-13 18:04:42,2026-08-13,0.41,0,0.00000,0.00000,2026-08-13,44736
DJZ6,RFUD,536.3,537.8,1.5,0,0,0,0,0,0,537.8,0.3,76,0,0,0,0,17:49:11,0,,,,,,,17:49:11,0.06,20260813180442,2026-08-13 18:04:42,,,0,0.00000,0.00000,2026-08-13,0
DLQ6,RFUD,73440,73920,480,74240,74240,73390,73390,1,-280,73440,-810,1014,11,159,11729490,142393,17:28:03,-0.38,,,,,,,15:27:45,-1.1,20260813174304,2026-08-13 17:43:04,2026-08-13,-1.16,200,0.00000,0.00000,2026-08-13,73390
DLU6,RFUD,73400,73600,200,74150,74150,73400,73400,1,-750,73400,-640,138,3,3,220960,2682,17:33:07,-1.01,,,,,,,15:37:20,-0.87,20260813174808,2026-08-13 17:48:08,2026-08-13,-0.9,4,0.00000,0.00000,2026-08-13,73400
DLV6,RFUD,72540,73600,1060,0,0,0,0,0,0,73070,-320,6,0,0,0,0,16:56:30,0,,,,,,,16:56:30,-0.44,20260813171131,2026-08-13 17:11:31,,,0,0.00000,0.00000,2026-08-13,0
DRU6,RFUD,2226,2228,2,2262,2271,2222,2225,39,-3,2228,-44,66088,1563,13954,31301040,379986,17:50:22,-0.13,,,,,,,17:50:08,-1.97,20260813180523,2026-08-13 18:05:23,2026-08-13,-1.85,1366,0.00000,0.00000,2026-08-13,2225
