Date,cl_period,KEY_PERIOD,BC,r
2026-08-12,CL,8Y,BSPB,-0.10098146402603467
2026-08-12,CL,9Y,BSPB,-0.10098146402603467
2026-08-12,CL,10Y,BSPB,-0.10098146402603467
2026-08-12,CL,1D,BTC,0.2520180381479211
2026-08-12,CL,1W,BTC,0.2520180381479211
2026-08-12,CL,2W,BTC,0.2520180381479211
2026-08-12,CL,1M,BTC,0.19799189385377114
2026-08-12,CL,2M,BTC,0.1297644462121901
2026-08-12,CL,3M,BTC,0.11290039848711574
2026-08-12,CL,6M,BTC,0.11290039848711574
2026-08-12,CL,9M,BTC,0.11290039848711574
2026-08-12,CL,1Y,BTC,0.11290039848711574
2026-08-12,CL,2Y,BTC,0.11290039848711574
2026-08-12,CL,3Y,BTC,0.11290039848711574
2026-08-12,CL,4Y,BTC,0.11290039848711574
2026-08-12,CL,5Y,BTC,0.11290039848711574
2026-08-12,CL,6Y,BTC,0.11290039848711574
2026-08-12,CL,7Y,BTC,0.11290039848711574
2026-08-12,CL,8Y,BTC,0.11290039848711574
2026-08-12,CL,9Y,BTC,0.11290039848711574
2026-08-12,CL,10Y,BTC,0.11290039848711574
2026-08-12,CL,1D,BYN,0.12476211904018963
2026-08-12,CL,1W,BYN,0.12476211904018963
2026-08-12,CL,2W,BYN,0.12476211904018963
2026-08-12,CL,1M,BYN,0.12476211904018963
2026-08-12,CL,2M,BYN,0.12476211904018963
2026-08-12,CL,3M,BYN,0.12476211904018963
2026-08-12,CL,6M,BYN,0.12476211904018963
2026-08-12,CL,9M,BYN,0.12476211904018963
2026-08-12,CL,1Y,BYN,0.12476211904018963
2026-08-12,CL,2Y,BYN,0.12476211904018963
2026-08-12,CL,3Y,BYN,0.12476211904018963
2026-08-12,CL,4Y,BYN,0.12476211904018963
2026-08-12,CL,5Y,BYN,0.12476211904018963
2026-08-12,CL,6Y,BYN,0.12476211904018963
2026-08-12,CL,7Y,BYN,0.12476211904018963
2026-08-12,CL,8Y,BYN,0.12476211904018963
2026-08-12,CL,9Y,BYN,0.12476211904018963
